Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION,3370-01-G-MODE,3370-01-P-MODE
2024-08-06 12:51:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:52:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:53:50,79.4,97.63,0.48,1.0,1.0
