Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION
 2024-08-09 08:46:10,1.89,1.8,0.38
 2024-08-09 08:59:33,1.1,1.07,0.06
 2024-08-09 09:00:12,2.92,1.28,0.07
 2024-08-09 09:00:58,1.29,1.53,0.05
 2024-08-09 09:09:12,1.33,1.79,0.09
 2024-08-09 09:59:53,2.97,1.03,0.07
 2024-08-09 10:00:00,1.05,1.29,0.06
 2024-08-09 10:02:19,1.21,1.33,0.05
 2024-08-09 10:45:25,1.46,1.87,0.1
 2024-08-09 10:59:57,0.94,1.05,0.06
 2024-08-09 11:00:04,2.58,1.34,0.09
 2024-08-09 11:00:51,1.51,1.19,0.05
 2024-08-09 11:56:02,1.28,1.07,1.71
 2024-08-09 11:59:54,1.01,11.68,0.24
 2024-08-09 12:00:17,10.69,2.64,0.23
 2024-08-09 12:03:45,2.81,2.93,0.06
 2024-08-09 12:09:56,3.11,3.69,1.04
 2024-08-09 12:59:49,3.56,2.03,0.6
 2024-08-09 12:59:57,2.46,2.99,0.57
 2024-08-09 13:05:52,3.01,2.56,0.71
 2024-08-09 13:53:19,2.81,2.01,0.48
 2024-08-09 13:59:53,4.08,3.33,0.57
 2024-08-09 14:00:08,2.39,2.23,0.55
 2024-08-09 14:07:36,3.67,2.75,0.64
 2024-08-09 14:11:28,3.95,1.77,0.47
 2024-08-09 14:59:49,2.46,252.73,0.54
 2024-08-09 14:59:57,350.459,72.7,0.53
 2024-08-09 15:27:27,76.65,70.22,7.94
 2024-08-09 15:55:50,68.47,53.03,0.05
 2024-08-09 15:59:42,522.84,550.884,0.08
 2024-08-09 16:00:13,55.55,71.19,0.06
 2024-08-09 16:20:40,64.52,74.69,0.03
 2024-08-09 16:59:47,69.94,64.14,0.36
 2024-08-09 16:59:54,58.26,83.56,0.1
 2024-08-09 17:00:02,80.74,72.47,0.06
 2024-08-09 17:00:10,67.55,72.17,0.05
 2024-08-09 17:17:55,65.49,80.11,11.21
 2024-08-09 18:00:00,76.53,65.59,0.47
 2024-08-09 18:00:08,57.13,69.61,0.52
 2024-08-09 18:04:45,64.13,75.2,0.62
 2024-08-09 18:14:40,64.95,228.43,0.34
 2024-08-09 18:59:57,258.7,2.2,0.43
 2024-08-09 19:00:04,1.9,3.14,0.41
 2024-08-09 19:24:38,2.36,2.79,0.33
 2024-08-09 19:59:08,2.25,15.32,0.86
 2024-08-09 20:00:02,6.66,0.99,0.59
 2024-08-09 20:00:09,1.09,8.13,0.68
 2024-08-09 20:32:34,2.88,3.43,1.09
 2024-08-09 20:33:20,1.85,2.72,0.5
 2024-08-09 20:59:59,1.74,418.815,0.7
 2024-08-09 21:00:06,440.862,239.99,0.77
 2024-08-09 21:07:03,218.49,219.62,0.51
 2024-08-09 21:09:38,223.72,253.86,1.24
 2024-08-09 22:00:04,233.01,107.46,0.8
 2024-08-09 22:00:11,112.16,160.63,0.86
 2024-08-09 22:34:33,147.41,120.76,0.54
 2024-08-09 22:42:55,129.8,241.83,1.49
 2024-08-09 22:59:54,221.2,77.06,0.87
 2024-08-09 23:00:09,79.97,89.52,0.98
 2024-08-09 23:05:33,86.25,87.76,0.66
 2024-08-09 23:44:09,88.16,75.54,1.67
 2024-08-09 23:59:59,99.19,107.69,1.22
 2024-08-10 00:00:06,74.27,85.5,1.36
 2024-08-10 00:21:28,89.05,83.98,1.65
 2024-08-10 00:25:50,85,73.93,0.05
 2024-08-10 00:59:56,97.64,105.18,0.06
 2024-08-10 01:00:11,72.16,90.07,0.08
 2024-08-10 01:42:08,83.41,78.8,0.34
 2024-08-10 01:58:28,78.67,73.04,0.03
 2024-08-10 02:00:01,71.48,111.87,0.05
 2024-08-10 02:00:16,101.94,77.28,0.06
 2024-08-10 02:00:47,79.86,77.88,0.03
 2024-08-10 02:08:30,92.8,71.19,0.08
 2024-08-10 02:59:58,76.47,114.54,0.06
 2024-08-10 03:00:06,103.12,78.72,0.04
 2024-08-10 03:03:50,90.89,99.86,0.03
 2024-08-10 03:24:17,88.59,254.14,0.08
 2024-08-10 03:59:55,1.41,1.82,0.04
 2024-08-10 04:00:02,1.72,3.25,0.05
 2024-08-10 04:00:26,1.82,3.51,0.08
 2024-08-10 04:09:41,9.37,4.33,0.03
 2024-08-10 04:59:44,1.07,0.97,0.04
 2024-08-10 05:00:31,1.35,1.23,0.05
 2024-08-10 05:01:48,1.33,1.47,0.03
 2024-08-10 05:25:28,2.25,3.02,0.07
 2024-08-10 05:59:56,1.03,1.05,0.04
 2024-08-10 06:00:04,1.64,1.33,0.05
