Timestamp,3370-02-EBB08,3370-02-AI153,3370-02-AI156,3370-02-AI109,3370-02-AI110
 2024-09-23 14:58:09,9.307,8.377,9.413,52.324,54.552
 2024-09-23 14:59:42,9.193,8.395,9.408,54.3,54.514
 2024-09-23 14:59:57,9.504,8.389,9.413,51.881,54.529
 2024-09-23 15:57:18,9.353,8.387,9.408,52.919,52.476
 2024-09-23 15:58:43,9.417,8.395,9.413,52.927,55.261
 2024-09-23 15:59:45,9.701,8.381,9.408,53.232,54.887
 2024-09-23 15:59:53,8.209,8.387,9.408,50.043,54.704
 2024-09-23 16:00:23,9.413,8.385,9.413,53.4,53.59
 2024-09-23 16:01:33,9.486,8.387,7.458,54.033,54.994
 2024-09-23 16:59:48,9.303,8.385,9.783,54.872,54.185
 2024-09-23 16:59:56,9.559,8.387,9.376,53.4,54.155
 2024-09-23 17:00:27,9.55,6.901,9.353,54.346,55.048
 2024-09-23 17:53:57,9.504,8.566,9.413,54.338,50.645
 2024-09-23 17:59:51,9.078,8.335,9.284,54.292,52.057
 2024-09-23 17:59:59,11.564,8.351,9.321,54.491,52.217
 2024-09-23 18:04:14,9.413,6.586,9.312,54.453,52.972
 2024-09-23 18:25:35,9.408,8.419,9.33,54.468,51.21
 2024-09-23 18:59:47,9.413,8.046,9.22,52.454,51.874
 2024-09-23 18:59:55,9.413,8.021,9.248,55.193,51.866
 2024-09-23 19:16:15,9.408,8.07,9.257,54.819,52.126
 2024-09-23 19:40:48,9.422,7.903,9.298,54.643,50.615
 2024-09-23 19:59:50,9.413,7.935,6.767,53.529,51.767
 2024-09-23 19:59:58,9.408,7.918,8.749,54.933,51.714
 2024-09-23 20:31:13,9.413,7.962,8.73,54.109,50.401
 2024-09-23 20:46:47,9.399,7.786,8.776,54.094,53.812
 2024-09-23 20:59:46,9.413,7.805,8.611,54.979,52.545
 2024-09-23 20:59:54,9.408,7.815,8.634,50.645,52.347
 2024-09-23 21:00:09,9.413,7.834,8.625,52.057,52.179
 2024-09-23 21:03:45,9.408,7.658,9.463,52.225,54.643
 2024-09-23 21:59:50,9.413,7.685,8.524,52.957,53.346
 2024-09-23 21:59:58,9.408,7.695,8.607,51.21,53.255
 2024-09-23 22:03:41,9.408,7.542,8.602,51.874,53.064
 2024-09-23 22:09:52,9.413,8.902,8.621,51.859,53.651
 2024-09-23 22:59:45,9.408,7.62,8.511,52.126,53.354
 2024-09-23 22:59:53,9.408,7.615,8.547,50.63,53.346
 2024-09-23 23:36:47,9.413,7.655,8.552,51.767,55.063
 2024-09-23 23:37:33,9.408,7.531,8.456,51.706,52.37
 2024-09-23 23:59:48,9.408,7.553,11.18,50.424,53.224
 2024-09-23 23:59:56,9.413,7.552,9.806,53.781,53.133
 2024-09-24 00:00:11,7.787,7.567,9.545,52.515,53.049
 2024-09-24 00:01:05,9.541,7.46,9.66,52.316,53.438
 2024-09-24 00:59:44,9.362,7.483,8.657,52.141,53.293
 2024-09-24 00:59:52,9.353,7.471,8.781,54.536,53.308
 2024-09-24 00:59:59,9.408,7.437,8.9,53.285,53.316
 2024-09-24 01:00:46,9.28,9.966,8.785,53.194,53.186
 2024-09-24 01:59:39,9.312,7.584,10.204,53.003,53.209
 2024-09-24 02:00:03,9.326,7.582,9.037,53.583,53.224
 2024-09-24 02:00:34,9.211,7.34,9.069,53.293,53.285
 2024-09-24 02:01:28,9.252,7.889,8.969,53.278,53.209
 2024-09-24 02:59:27,9.248,7.595,9.239,55.009,53.27
 2024-09-24 02:59:51,9.316,7.605,9.092,52.316,53.262
 2024-09-24 03:00:21,7.691,7.428,9.138,53.156,53.224
 2024-09-24 03:04:44,8.753,8.295,8.511,53.072,53.27
 2024-09-24 03:59:47,8.73,7.773,9.435,52.98,53.247
 2024-09-24 03:59:55,8.772,7.758,8.932,53.377,53.255
